T P CH4 O2 N2 AR CO2 H2O C2H6 HCCOH HNCO CH2CHO H2 CH3 YiSum CH4 O2 N2 AR CO2 H2O C2H6 HCCOH HNCO CH2CHO H2 CH3
1440 106650 0.179036512 0.034434946 0.151713771 0.306417364 0.618920234 0.423699921 0.562651172 0.766008283 0.849572927 0.779754654 0.507533619 0.958139937 6.137883338 0.029169097 0.005610231 0.024717604 0.049922318 0.100836103 0.069030299 0.0916686 0.124800072 0.138414642 0.127039667 0.082688704 0.156102663
330 103735 0.066469208 0.935085619 0.41669775 0.918184201 0.055508697 0.509038338 0.824639388 0.733699046 0.828057023 0.728374794 0.026543984 0.166643757 6.208941806 0.010829337 0.152346594 0.067889487 0.149592971 0.009043622 0.082933857 0.134352405 0.119536167 0.134909215 0.118668726 0.004324615 0.027150037
1688 110120 0.575866464 0.927080477 0.577173007 0.662505623 0.229426224 0.946667852 0.390207403 0.234171602 0.423294722 0.825534812 0.935847434 0.099444732 6.827220352 0.09382167 0.151042375 0.094034535 0.107937148 0.03737872 0.154233601 0.06357361 0.03815185 0.068964283 0.13449829 0.152470711 0.016201796
872 106313 0.69018118 0.534597017 0.818477417 0.330171625 0.614080831 0.819899879 0.658256768 0.166570291 0.124544376 0.451741159 0.08148841 0.854909055 6.144918007 0.112446122 0.087097944 0.13334848 0.053792424 0.100047654 0.133580232 0.107244914 0.027138067 0.020291095 0.073598851 0.013276305 0.139284018
954 107346 0.398164597 0.585883343 0.79120332 0.591328977 0.203935445 0.975375948 0.014540617 0.178083197 0.457827976 0.36480537 0.153762079 0.564922513 5.27983338 0.064870017 0.095453646 0.128904913 0.096340863 0.033225696 0.158910799 0.002368995 0.02901378 0.074590531 0.059435045 0.02505132 0.092038653
1204 103524 0.627559738 0.816354306 0.839840473 0.861389891 0.929281497 0.367734269 0.762835121 0.446462842 0.082204817 0.480739267 0.294538754 0.324430828 6.833371803 0.102243673 0.133002578 0.136829005 0.140339893 0.151400971 0.059912228 0.124283092 0.072738894 0.013393024 0.078323298 0.047987024 0.052857119
2150 110373 0.775087789 0.229922849 0.591292212 0.598212083 0.055942275 0.377742588 0.410824593 0.398850989 0.463234743 0.008051828 0.50138178 0.833537892 5.244081621 0.126279329 0.037459632 0.096334873 0.097462277 0.009114262 0.06154281 0.066932617 0.064981846 0.075471415 0.001311825 0.08168643 0.135802173
2894 111365 0.753981004 0.689166585 0.122942867 0.910098246 0.819011855 0.428415016 0.760251387 0.209617109 0.876896478 0.425437735 0.776279648 0.38849431 7.160592239 0.122840556 0.112280822 0.020030173 0.148275586 0.133435553 0.069798494 0.123862144 0.034151367 0.142866267 0.069313428 0.12647351 0.063294509
910 107274 0.840222977 0.211097639 0.639307692 0.524767392 0.237338378 0.604703255 0.684036818 0.181357967 0.410759142 0.521507286 0.334869446 0.580585527 5.77055352 0.136891324 0.034392579 0.104157681 0.085496475 0.038667789 0.098519835 0.111445067 0.029547314 0.066921953 0.08496533 0.054557806 0.094590512
1389 101864 0.184232407 0.487683754 0.599625654 0.695905162 0.765205421 0.941635679 0.954197521 0.397074414 0.223552341 0.139905062 0.188660132 0.444831371 6.022508918 0.030015625 0.079454712 0.097692579 0.113378688 0.124669268 0.153413747 0.155460355 0.064692402 0.036421732 0.022793698 0.030737002 0.07247309
1427 102377 0.830259576 0.426618523 0.311241233 0.679291722 0.097276382 0.82117096 0.00156385 0.052236601 0.556287302 0.537236679 0.363196941 0.957336106 5.633715874 0.135268061 0.069505805 0.050708235 0.110671983 0.015848522 0.13378732 0.000254787 0.008510524 0.090631782 0.087528004 0.059172995 0.155971701
2288 108303 0.979174334 0.130778984 0.573219848 0.3171029 0.820430599 0.722266879 0.889738792 0.36743214 0.110692061 0.733840167 0.862220681 0.321986129 6.828883513 0.159529642 0.021306854 0.093390476 0.051663234 0.133666698 0.117673608 0.14495857 0.059863005 0.01803424 0.119559158 0.140475248 0.052458822
2081 105854 0.105782155 0.167567404 0.998929902 0.928043631 0.069362435 0.6780783 0.069854205 0.378165963 0.369461818 0.468269147 0.913364157 0.213131504 5.360010619 0.017234305 0.027300519 0.162748271 0.151199295 0.011300709 0.110474289 0.01138083 0.061611787 0.060193685 0.076291634 0.148807676 0.034723942
1166 103113 0.390058846 0.925295979 0.732799409 0.426382891 0.673433431 0.471493063 0.936309191 0.499209593 0.210841107 0.727266825 0.596000428 0.664864209 7.253954971 0.063549407 0.15075164 0.119389595 0.069467415 0.109717535 0.076816882 0.152545941 0.081332532 0.034350784 0.118488212 0.097101948 0.108321415
1223 104615 0.738348942 0.76986188 0.626949714 0.542722741 0.200784798 0.497028926 0.74476852 0.16727443 0.052345898 0.089143095 0.759093537 0.163988056 5.352310538 0.12029374 0.12542791 0.102144286 0.088421808 0.032712384 0.080977252 0.121339634 0.027252788 0.008528331 0.014523426 0.123673504 0.026717363
541 105838 0.857143581 0.108091991 0.797558519 0.240844841 0.033684832 0.531387026 0.458703034 0.653123311 0.675834294 0.819932096 0.016562232 0.515370857 5.708236615 0.139648073 0.01761063 0.129940319 0.039239071 0.005488021 0.086574964 0.074733098 0.106408557 0.11010869 0.133585481 0.002698362 0.083965567
1565 108300 0.183399613 0.509849025 0.062686867 0.276155147 0.409942262 0.752648426 0.623980499 0.931289419 0.137858724 0.947441198 0.037808318 0.089654926 4.962714423 0.029879944 0.083065936 0.010213108 0.044991919 0.066788865 0.122623449 0.101660534 0.151728107 0.022460304 0.154359597 0.00615983 0.014606815
897 103049 0.435639658 0.684176703 0.274331242 0.488507909 0.372943913 0.089020245 0.63346452 0.333210438 0.046316301 0.168529405 0.481932821 0.886686689 4.894759845 0.070975552 0.111467857 0.044694763 0.079588986 0.060760997 0.014503411 0.103205696 0.054287516 0.007545973 0.027457251 0.078517755 0.144461314
403 102248 0.917754943 0.814335835 0.633957594 0.656039172 0.323001434 0.979721301 0.682712841 0.757673261 0.842372132 0.10051034 0.879927995 0.23668062 7.824687467 0.149523035 0.132673723 0.103286029 0.106883617 0.052624238 0.159618756 0.111229361 0.123442108 0.13724147 0.016375407 0.143360169 0.038560625
2623 106779 0.951570082 0.2500739 0.017219114 0.723672496 0.165717053 0.926859642 0.404818937 0.888981122 0.101241289 0.004491325 0.124876845 0.105224558 4.664746361 0.155032286 0.040742694 0.002805383 0.117902615 0.026999055 0.151006396 0.065954159 0.144835128 0.016494496 0.000731738 0.020345262 0.01714346
2251 102822 0.070770619 0.230930092 0.7771872 0.0823052 0.58360205 0.381857973 0.775323439 0.05970697 0.308194955 0.373100606 0.958574915 0.766172524 5.367726543 0.011530134 0.037623734 0.12662137 0.013409378 0.095081972 0.062213299 0.126317722 0.009727616 0.050211928 0.060786526 0.156173531 0.124826831
1824 106313 0.824156457 0.30029463 0.344439542 0.065636216 0.64753873 0.626531736 0.683457134 0.603528362 0.652571712 0.874413252 0.675550728 0.933374568 7.231493067 0.134273725 0.048924786 0.056116991 0.010693624 0.105498703 0.102076188 0.111350623 0.098328419 0.106318689 0.142461693 0.110062491 0.152067825
2813 101637 0.118908535 0.058146133 0.712158967 0.760434373 0.603374582 0.219968882 0.491349452 0.574891938 0.288939388 0.638896885 0.029775622 0.57546561 5.072310367 0.019372889 0.00947332 0.116026801 0.123891956 0.098303364 0.035837905 0.080051937 0.093662898 0.04707476 0.104090751 0.004851122 0.093756362
1947 110094 0.739788095 0.796371283 0.522253668 0.242858919 0.35284789 0.665496165 0.249657356 0.172264702 0.395918771 0.721822806 0.31144838 0.140259557 5.310987592 0.120528211 0.129746891 0.085086933 0.03956721 0.057486901 0.108424375 0.040674829 0.028065816 0.064504121 0.117601259 0.050741984 0.022851454
1271 103655 0.75061824 0.156498473 0.998411314 0.240782567 0.769813598 0.587767063 0.894668254 0.303485138 0.242289671 0.570835196 0.510470645 0.019088774 6.044728933 0.122292686 0.02549714 0.162663781 0.039228925 0.125420044 0.095760547 0.145761691 0.049444592 0.039474467 0.093001962 0.083167212 0.003109993
1116 104887 0.815153803 0.880131741 0.85239526 0.079280135 0.851093534 0.042974646 0.322075342 0.166294098 0.888290238 0.38642 0.139077113 0.547743152 5.970929062 0.132806989 0.143393364 0.138874464 0.012916527 0.138662384 0.007001542 0.052473357 0.027093069 0.144722568 0.062956557 0.022658807 0.089239746
667 107840 0.811831408 0.203879512 0.029076655 0.598991442 0.127008975 0.963070397 0.544960701 0.1483648 0.978113561 0.600974467 0.739429422 0.823468285 6.569169626 0.132265695 0.033216583 0.004737245 0.097589252 0.020692634 0.156905947 0.088786422 0.024171981 0.159356818 0.097912331 0.120469775 0.134161606
695 104741 0.898293406 0.168251475 0.958965849 0.764102544 0.115008998 0.135381654 0.076127293 0.773098866 0.237045316 0.408748248 0.144122437 0.806477173 5.485623261 0.14635231 0.02741197 0.156237223 0.124489584 0.018737567 0.022056733 0.012402858 0.125955288 0.038620043 0.066594333 0.023480804 0.13139337
640 103126 0.48955545 0.189397935 0.807896953 0.365452368 0.904032898 0.114895358 0.353832779 0.910292223 0.978627773 0.915395412 0.940514576 0.371708865 7.34160259 0.079759654 0.030857207 0.131624684 0.059540455 0.147287403 0.018719052 0.057647361 0.148307189 0.159440595 0.149138614 0.153231094 0.06055978
2586 107742 0.099342344 0.71995242 0.478899771 0.024462727 0.912354959 0.952976242 0.75096 0.870287281 0.017083896 0.949206595 0.05473122 0.525479413 6.35573687 0.016185114 0.11729653 0.078023603 0.003985531 0.148643255 0.155261381 0.122348367 0.141789479 0.002783353 0.15464722 0.008916954 0.08561248
505 105588 0.630515328 0.09052258 0.6628852 0.295192353 0.741491844 0.10231776 0.921252807 0.726078589 0.092149572 0.626978414 0.76873552 0.951839776 6.609959744 0.102725206 0.014748175 0.10799899 0.04809351 0.12080579 0.016669877 0.150092916 0.118294622 0.015013249 0.102148962 0.125244401 0.155076225
763 103880 0.264759179 0.748443952 0.738646228 0.488986951 0.171677267 0.999123901 0.816386354 0.663997558 0.008717922 0.224268699 0.473282888 0.489740089 6.088030987 0.043135258 0.121938445 0.120342174 0.079667033 0.027970109 0.162779878 0.133007799 0.108180218 0.001420347 0.036538443 0.077108485 0.079789736
2468 107716 0.356376246 0.076960152 0.078968566 0.322634508 0.102313386 0.484428667 0.617826723 0.658584298 0.865562096 0.797711339 0.259020463 0.980593975 5.60098042 0.05806175 0.012538549 0.012865765 0.052564458 0.016669164 0.078924385 0.100657945 0.107298276 0.14101964 0.129965217 0.042200291 0.159760934
526 111161 0.712043045 0.170143666 0.1330372 0.275508225 0.311713875 0.202752778 0.251618101 0.664119283 0.073392883 0.531229584 0.702726309 0.720183698 4.748468647 0.116007914 0.027720251 0.021674768 0.04488652 0.050785239 0.033033013 0.040994279 0.10820005 0.01195736 0.086549313 0.114490007 0.117334211
2083 111024 0.080573169 0.857604164 0.316949628 0.673518117 0.724959121 0.074198824 0.786307751 0.970643868 0.410489414 0.060373559 0.501028876 0.685065492 6.141711984 0.013127191 0.139723113 0.051638262 0.109731332 0.118112235 0.012088666 0.128107314 0.158139837 0.066878008 0.009836218 0.081628934 0.111612661
772 107271 0.498187168 0.987792229 0.582561822 0.274469827 0.443402861 0.356076753 0.435793732 0.413636039 0.086917196 0.715730755 0.406153864 0.361038926 5.561761173 0.081165956 0.160933692 0.094912495 0.044717342 0.072240353 0.058012956 0.071000654 0.067390665 0.014160777 0.116608726 0.066171649 0.058821406
2870 106432 0.668568023 0.212524609 0.966608759 0.211918515 0.336271074 0.142979724 0.459159742 0.652297809 0.383299887 0.623207211 0.65987887 0.855533746 6.17224797 0.10892485 0.034625065 0.157482426 0.034526318 0.054786163 0.02329463 0.074807506 0.106274064 0.06244822 0.101534548 0.107509191 0.139385795
2283 104022 0.283063859 0.75474619 0.467121457 0.775037743 0.541472274 0.681966448 0.942013772 0.528662307 0.486778631 0.551522497 0.230442991 0.441798709 6.684626878 0.046117504 0.122965222 0.076104649 0.126271175 0.088218078 0.111107757 0.153475347 0.086131045 0.079307247 0.089855487 0.037544375 0.071979001
516 110076 0.58682661 0.644730193 0.481151352 0.133323058 0.458835096 0.730609109 0.744697832 0.475853751 0.261067355 0.717347054 0.187131935 0.666483394 6.088056739 0.095607325 0.105041129 0.078390436 0.021721341 0.074754613 0.119032746 0.121328118 0.077527337 0.042533776 0.116872057 0.030488024 0.108585217
2732 101646 0.606658604 0.470438004 0.325450902 0.697081764 0.683767166 0.16217576 0.561139935 0.311652083 0.248828383 0.988518415 0.762122678 0.26786375 6.085697444 0.098838406 0.076644989 0.053023312 0.113570383 0.111401134 0.026422099 0.091422385 0.050775172 0.040539771 0.161052005 0.124167019 0.043641062
2867 104138 0.159904149 0.094599831 0.030970738 0.11696434 0.079782317 0.48157709 0.806017958 0.506653307 0.014134518 0.510554588 0.634333046 0.272328112 3.707819993 0.026052002 0.015412452 0.005045834 0.019056136 0.012998344 0.078459798 0.131318553 0.082545281 0.002302833 0.083180888 0.103347198 0.044368408
2076 105971 0.239635223 0.183619149 0.714507061 0.075986794 0.063438544 0.465005556 0.016262913 0.291079901 0.906762273 0.698757753 0.296925201 0.839044672 4.791025041 0.039041997 0.029915712 0.116409358 0.012379967 0.010335573 0.075759921 0.002649596 0.047423499 0.14773208 0.11384344 0.04837583 0.136699352
816 105363 0.036361508 0.856495689 0.676830286 0.546159224 0.172528673 0.077508328 0.170251477 0.93515939 0.645681494 0.452992902 0.46836188 0.538604486 5.576935338 0.005924112 0.139542517 0.11027096 0.088981689 0.028108823 0.012627859 0.027737816 0.152358613 0.105196117 0.073802788 0.076306742 0.087750851
2820 104006 0.631055453 0.064351439 0.17876328 0.805317365 0.771717111 0.048365522 0.704606821 0.569466804 0.172486478 0.499362455 0.121952197 0.421036745 4.988481668 0.102813204 0.010484305 0.029124581 0.131204411 0.125730169 0.007879837 0.114796385 0.09277902 0.028101948 0.081357437 0.019868771 0.068596407
1172 101782 0.587159961 0.647381451 0.166556762 0.861809028 0.094521972 0.916251128 0.041580586 0.403396008 0.522348485 0.003685808 0.535474388 0.870445571 5.650611149 0.095661636 0.105473079 0.027135863 0.14040818 0.015399767 0.149278029 0.006774418 0.065722332 0.085102381 0.000600501 0.087240887 0.141815268
786 101778 0.477333658 0.658737721 0.197421469 0.730759711 0.998229608 0.29301559 0.275768513 0.73426141 0.50490026 0.169452419 0.825505487 0.172744714 6.038130559 0.077768447 0.107323272 0.032164422 0.119057283 0.162634177 0.047738866 0.044928927 0.119627789 0.08225967 0.027607631 0.134493512 0.02814402
1200 104882 0.418508426 0.428898306 0.84195236 0.824457465 0.403438281 0.97507481 0.630163568 0.461235763 0.539765159 0.521968203 0.87502338 0.206022996 7.126508716 0.068184487 0.069877233 0.13717308 0.134322766 0.065729219 0.158861737 0.102667896 0.075145736 0.087939951 0.085040424 0.142561097 0.033565805
2549 106218 0.085533879 0.085181261 0.775199882 0.374395946 0.446822084 0.904971806 0.384734267 0.653522217 0.751764586 0.16007137 0.252800842 0.348854434 5.223852574 0.013935403 0.013877954 0.126297591 0.060997566 0.072797422 0.147440373 0.062681913 0.106473548 0.122479452 0.026079246 0.041186974 0.056836276
2515 103617 0.033062258 0.34119021 0.296549231 0.129908275 0.163570769 0.866309174 0.786628213 0.360163745 0.405134653 0.865775226 0.51600812 0.322463032 5.086762906 0.00538659 0.055587601 0.048314576 0.021164996 0.026649377 0.141141356 0.128159525 0.058678819 0.066005597 0.141054363 0.084069392 0.05253652
2741 109509 0.60494611 0.744619399 0.50525699 0.665966392 0.404956252 0.688769475 0.723996156 0.576635195 0.572605878 0.436377454 0.149630805 0.123873663 6.19763377 0.098559402 0.121315339 0.08231779 0.108500986 0.065976531 0.112216124 0.117955346 0.093946914 0.093290447 0.071095756 0.024378242 0.020181821
1549 106636 0.687994442 0.946843581 0.772384049 0.382562202 0.483518599 0.244651649 0.002452006 0.963456361 0.178591449 0.606111878 0.035921632 0.22536639 5.529854237 0.112089853 0.154262232 0.125838829 0.062328034 0.078776114 0.039859286 0.000399487 0.156968829 0.029096586 0.098749332 0.005852446 0.036717281
2534 105614 0.623245755 0.05691112 0.515830387 0.345607097 0.126649431 0.677201215 0.421218957 0.616269443 0.502512335 0.300920011 0.059642129 0.30716772 4.553175601 0.101540828 0.009272108 0.084040435 0.056307212 0.020634056 0.110331392 0.068626094 0.100404229 0.081870623 0.049026675 0.009717052 0.050044568
